//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,105,105,105,105,105,105,105,105,1,1
1,0,0,0,0,0,0,0,0,0,105,105,105,105,105,105,105,105,110,1
1,0,0,0,0,0,0,0,0,0,105,105,105,105,105,105,105,105,1,1
1,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106,1
1,11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106,1
1,10,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106,1
1,104,104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,106,1
1,104,104,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,104,104,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,104,104,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,103,103,103,0,0,0,0,0,0,0,0,0,102,102,1
1,0,0,0,0,103,103,103,0,0,0,0,0,0,0,0,0,102,102,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,102,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,102,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,102,1
1,109,0,0,101,101,101,101,101,101,101,101,101,0,0,0,0,0,102,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
